counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
 74	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 75	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 76	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 77	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 78	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 79	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7a	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7b	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7c	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7d	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7e	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 7f	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 80	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 81	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 82	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 83	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 84	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 85	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 86	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 87	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 88	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 89	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8a	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8b	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8c	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8d	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8e	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 8f	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 90	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 91	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 92	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 93	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 94	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 95	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 96	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 97	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 98	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 99	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9a	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9b	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9c	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9d	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9e	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 9f	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a0	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a1	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a2	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a3	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a4	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a5	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a6	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a7	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a8	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 a9	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 aa	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ab	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ac	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ad	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ae	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 af	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b0	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b1	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b2	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b3	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b4	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b5	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b6	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b7	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b8	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 b9	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ba	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 bb	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 bc	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 bd	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 be	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 bf	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c0	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c1	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c2	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c3	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c4	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c5	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c6	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c7	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c8	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 c9	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ca	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 cb	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 cc	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 cd	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ce	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 cf	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d0	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d1	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d2	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d3	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d4	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d5	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d6	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d7	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d8	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 d9	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 da	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 db	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 dc	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 dd	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 de	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 df	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e0	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e1	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e2	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e3	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e4	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e5	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e6	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e7	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e8	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 e9	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ea	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 eb	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ec	0	08	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ed	0	09	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ee	0	0a	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 ef	0	04	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f0	0	05	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f1	0	06	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
 f2	0	07	4c	00	5f73706f	6b616e65	 0	4c	40	36371c88	ee000000
